samples,intensity,group
A.1,17.6387,A
A.1,19.532,A
A.1,16.5774,A
A.1,15.9366,A
A.1,17.6349,A
A.1,15.0782,A
A.1,13.649,A
A.1,12.8961,A
A.1,15.0743,A
A.1,20.3948,A
A.1,15.5111,A
A.1,18.3153,A
A.1,16.2973,A
A.1,15.7418,A
A.1,15.5015,A
A.1,12.8247,A
A.1,13.1667,A
A.1,13.9398,A
A.1,17.764,A
A.1,15.3405,A
A.1,17.3864,A
A.1,15.4517,A
A.1,16.4318,A
A.1,13.3072,A
A.1,15.6485,A
A.1,15.8055,A
A.1,18.2969,A
A.1,16.9023,A
A.1,16.4379,A
A.1,15.4164,A
A.1,18.0763,A
A.1,15.5505,A
A.1,15.1409,A
A.1,12.4215,A
A.1,15.8384,A
A.1,18.033,A
A.1,15.8641,A
A.1,16.2937,A
A.1,16.2471,A
A.1,16.0086,A
A.1,18.5756,A
A.1,17.4556,A
A.1,15.7993,A
A.1,20.3212,A
A.1,16.2039,A
A.1,19.2206,A
A.1,16.2188,A
A.1,13.171,A
A.1,16.3975,A
A.1,16.2322,A
A.1,15.4676,A
A.1,17.0067,A
A.1,13.1679,A
A.1,18.9329,A
A.1,16.7576,A
A.1,13.5197,A
A.1,17.6,A
A.1,19.6738,A
A.1,15.5528,A
A.1,17.8246,A
A.1,16.8207,A
A.1,16.1021,A
A.1,16.7248,A
A.1,16.2289,A
A.1,15.3201,A
A.1,15.2587,A
A.1,15.2913,A
A.1,15.4419,A
A.1,16.6861,A
A.1,18.0993,A
A.1,16.6985,A
A.1,16.7608,A
A.1,15.9847,A
A.1,15.9765,A
A.1,14.7676,A
A.1,14.7206,A
A.1,18.4115,A
A.1,14.7906,A
A.1,16.7525,A
A.1,16.1427,A
A.1,17.291,A
A.1,14.7445,A
A.1,15.2336,A
A.1,17.2692,A
A.1,16.5497,A
A.1,17.1669,A
A.1,21.5115,A
A.1,13.024,A
A.1,15.7396,A
A.1,12.4922,A
A.1,17.85,A
A.1,12.9933,A
A.1,16.8647,A
A.1,19.2801,A
A.1,17.1173,A
A.1,16.7731,A
A.1,14.8389,A
A.1,15.2386,A
A.1,12.5401,A
A.1,16.5072,A
A.1,12.931,A
A.1,13.6425,A
A.1,14.5904,A
A.1,19.271,A
A.1,17.0129,A
A.1,12.7311,A
A.1,15.5209,A
A.1,15.0214,A
A.1,13.7154,A
A.1,14.3489,A
A.1,13.3279,A
A.1,17.7029,A
A.1,19.4679,A
A.1,18.3969,A
A.1,17.794,A
A.1,18.0121,A
A.1,16.277,A
A.1,14.6531,A
A.1,16.7099,A
A.1,19.4706,A
A.1,14.0264,A
A.1,17.1609,A
A.1,18.1539,A
A.1,15.8827,A
A.1,16.0661,A
A.1,18.4234,A
A.1,14.8429,A
A.1,15.7583,A
A.1,13.0234,A
A.1,12.293,A
A.1,18.226,A
A.1,12.6625,A
A.1,15.5275,A
A.1,16.627,A
A.1,16.2087,A
A.1,13.5127,A
A.1,15.962,A
A.1,12.873,A
A.1,15.2654,A
A.1,14.3935,A
A.1,17.471,A
A.1,18.9767,A
A.1,18.0488,A
A.1,17.5697,A
A.1,16.6338,A
A.1,17.8473,A
A.1,13.8187,A
A.1,14.9075,A
A.1,15.7295,A
A.1,14.7641,A
A.1,18.0965,A
A.1,15.9437,A
A.1,18.9925,A
A.1,14.1214,A
A.1,14.235,A
A.1,14.5396,A
A.1,15.3709,A
A.1,17.2048,A
A.1,14.7981,A
A.1,18.459,A
A.1,16.2154,A
A.1,13.0271,A
A.1,17.7139,A
A.1,17.4178,A
A.1,15.1508,A
A.1,14.1603,A
A.1,18.2122,A
A.1,18.5381,A
A.1,18.8419,A
A.1,19.1354,A
A.1,16.5043,A
A.1,14.9097,A
A.1,19.1071,A
A.1,16.6083,A
A.1,12.9786,A
A.1,17.2545,A
A.1,16.1787,A
A.1,17.8252,A
A.1,13.288,A
A.1,16.7762,A
A.1,15.3881,A
A.1,13.1536,A
A.1,16.9373,A
A.1,17.7662,A
A.1,16.1628,A
A.1,22.3847,A
A.1,14.9018,A
A.1,13.5121,A
A.1,16.6447,A
A.1,17.672,A
A.1,12.6282,A
A.1,17.7647,A
A.1,15.8291,A
A.1,16.1134,A
A.1,15.2913,A
A.1,17.57,A
A.1,16.4352,A
A.1,18.4692,A
A.1,14.2578,A
A.1,18.2902,A
A.1,16.7236,A
A.1,16.2434,A
A.1,16.9913,A
A.1,13.9873,A
A.1,14.8937,A
A.1,17.7903,A
A.1,16.9225,A
A.1,17.1315,A
A.1,18.0154,A
A.1,17.2649,A
A.1,18.7677,A
A.1,15.713,A
A.1,13.0134,A
A.1,13.6757,A
A.1,12.8962,A
A.1,16.3206,A
A.1,15.3129,A
A.1,13.2461,A
A.1,13.5251,A
A.1,18.5298,A
A.1,18.0295,A
A.1,14.796,A
A.1,13.9208,A
A.1,17.3824,A
A.1,15.3956,A
A.1,16.192,A
A.1,19.1514,A
A.1,17.2573,A
A.1,15.7683,A
A.1,17.5743,A
A.1,16.5328,A
A.1,16.4103,A
A.1,15.3045,A
A.1,17.9334,A
A.1,13.1198,A
A.1,14.5442,A
A.1,17.3123,A
A.1,16.3046,A
A.1,17.6842,A
A.1,15.7746,A
A.1,13.2828,A
A.1,14.4499,A
A.1,14.0211,A
A.1,16.5885,A
A.1,17.9238,A
A.1,19.3814,A
A.1,15.521,A
A.1,17.4722,A
A.1,16.5824,A
A.1,13.3872,A
A.1,15.1343,A
A.1,17.0758,A
A.1,16.9031,A
A.1,16.0995,A
A.1,16.2101,A
A.1,15.5836,A
A.1,16.8861,A
A.1,17.4975,A
A.1,13.5631,A
A.1,20.2709,A
A.1,18.4794,A
A.1,14.3981,A
A.1,19.5691,A
A.1,15.8308,A
A.1,16.5992,A
A.1,16.9485,A
A.1,15.5053,A
A.1,18.301,A
A.1,19.4631,A
A.1,20.3743,A
A.1,17.2066,A
A.1,19.1353,A
A.1,16.4136,A
A.1,18.9422,A
A.1,19.2427,A
A.1,15.9265,A
A.1,16.9836,A
A.1,17.743,A
A.1,18.4059,A
A.1,16.8536,A
A.1,19.7705,A
A.1,17.1984,A
A.1,18.1965,A
A.1,16.2765,A
A.1,14.4011,A
A.1,16.7627,A
A.1,18.6376,A
A.1,15.9562,A
A.1,13.8973,A
A.1,16.0987,A
A.1,19.1353,A
A.1,18.6949,A
A.1,19.657,A
A.1,13.56,A
A.1,20.1495,A
A.1,18.6933,A
A.1,16.2753,A
A.1,13.3705,A
A.1,15.8134,A
A.1,18.3229,A
A.1,19.9209,A
A.1,18.908,A
A.1,17.3071,A
A.1,13.1389,A
A.1,16.001,A
A.1,12.4155,A
A.1,15.971,A
A.1,15.1683,A
A.1,14.9301,A
A.1,19.4051,A
A.1,14.7665,A
A.1,13.3865,A
A.1,19.04,A
A.1,16.849,A
A.1,15.498,A
A.1,17.3537,A
A.1,18.9225,A
A.1,15.1657,A
A.1,14.0908,A
A.1,17.6357,A
A.1,12.9186,A
A.1,13.66,A
A.1,15.3723,A
A.1,13.5901,A
A.1,17.1635,A
A.1,18.6882,A
A.1,16.4151,A
A.1,13.9905,A
A.1,15.9842,A
A.1,20.4423,A
A.1,19.533,A
A.1,15.7957,A
A.1,12.5353,A
A.1,16.4642,A
A.1,17.7631,A
A.1,13.2238,A
A.1,15.7803,A
A.1,19.9216,A
A.1,14.3824,A
A.1,19.1801,A
A.1,18.7257,A
A.1,14.699,A
A.1,13.825,A
A.1,18.87,A
A.1,14.7971,A
A.1,14.6593,A
A.1,14.3641,A
A.1,16.0444,A
A.1,17.5483,A
A.1,17.7776,A
A.1,13.3363,A
A.1,17.7076,A
A.1,17.4253,A
A.1,12.8837,A
A.1,13.3738,A
A.1,18.1379,A
A.1,18.4529,A
A.1,16.4544,A
A.1,13.2251,A
A.1,13.797,A
A.1,20.173,A
A.1,15.6099,A
A.1,20.4028,A
A.1,19.1194,A
A.1,8.03348,A
A.1,18.4111,A
A.1,15.0503,A
A.1,16.5613,A
A.1,14.5639,A
A.1,24.4817,A
A.1,21.4747,A
A.1,16.1838,A
A.1,16.53,A
A.1,13.4471,A
A.1,15.8645,A
A.1,16.5667,A
A.1,20.0409,A
A.1,16.4605,A
A.1,17.5623,A
A.1,20.7946,A
A.1,15.5843,A
A.1,17.1649,A
A.1,17.8316,A
A.1,18.2132,A
A.1,15.2144,A
A.1,20.2407,A
A.1,24.6401,A
A.1,22.1725,A
A.1,22.3764,A
A.1,13.7087,A
A.1,16.2371,A
A.1,19.8114,A
A.1,17.513,A
A.1,15.4343,A
A.1,19.3261,A
A.1,22.6736,A
A.1,22.8584,A
A.1,21.6791,A
A.1,17.5452,A
A.1,16.5957,A
A.1,17.4504,A
A.1,15.9488,A
A.1,13.8104,A
A.1,17.3111,A
A.1,22.0771,A
A.1,17.2092,A
A.1,16.6468,A
A.1,17.4026,A
A.1,17.5609,A
A.1,17.673,A
A.1,13.0382,A
A.1,16.7747,A
A.1,16.7688,A
A.1,18.8674,A
A.1,18.2199,A
A.1,17.6895,A
A.1,17.1034,A
A.1,22.0445,A
A.1,16.6765,A
A.1,15.6756,A
A.1,20.9773,A
A.1,21.2438,A
A.1,19.2065,A
A.1,17.9554,A
A.1,14.365,A
A.1,16.1572,A
A.1,20.1823,A
A.1,14.3065,A
A.1,17.9754,A
A.1,19.8238,A
A.1,22.3904,A
A.1,22.006,A
A.1,14.6607,A
A.1,18.0552,A
A.1,17.9834,A
A.1,18.6651,A
A.1,19.6826,A
A.1,15.1067,A
A.1,21.6783,A
A.1,17.1205,A
A.1,17.7853,A
A.1,15.7514,A
A.1,17.1573,A
A.1,16.9939,A
A.1,22.1878,A
A.1,20.5567,A
A.1,15.5276,A
A.1,17.9866,A
A.1,18.9188,A
A.1,13.8032,A
A.1,19.0828,A
A.1,17.549,A
A.1,21.2435,A
A.1,15.1388,A
A.1,21.1875,A
A.1,18.2179,A
A.1,19.0099,A
A.1,16.9708,A
A.1,15.4583,A
A.1,20.0918,A
A.1,13.2992,A
A.1,14.9012,A
A.1,17.4858,A
A.1,12.524,A
A.1,16.5804,A
A.1,13.4181,A
A.1,18.7806,A
A.1,16.1747,A
A.1,16.6556,A
A.1,18.8701,A
A.1,17.8436,A
A.1,17.7939,A
A.1,22.2077,A
A.1,19.3895,A
A.1,15.7069,A
A.1,17.5148,A
A.1,17.8344,A
A.1,14.3869,A
A.1,22.7824,A
A.1,19.8586,A
A.1,18.9013,A
A.1,20.8073,A
A.1,17.2556,A
A.1,20.8896,A
A.1,14.0521,A
A.1,19.6778,A
A.1,17.9548,A
A.1,14.0684,A
A.1,17.581,A
A.1,22.6475,A
A.1,19.0628,A
A.1,12.3429,A
A.1,14.7573,A
A.1,20.7695,A
A.1,17.9443,A
A.1,18.3024,A
A.1,14.3529,A
A.1,21.8963,A
A.1,19.264,A
A.1,17.459,A
A.1,19.9919,A
A.1,16.6512,A
A.1,18.7189,A
A.1,19.0932,A
A.1,17.8212,A
A.1,20.7942,A
A.1,16.954,A
A.1,16.5373,A
A.1,20.7638,A
A.1,18.7641,A
A.1,15.2784,A
A.1,19.3912,A
A.1,16.868,A
A.1,20.3111,A
A.1,21.1767,A
A.1,15.3277,A
A.1,17.1401,A
A.1,13.8284,A
A.1,19.5859,A
A.1,15.8162,A
A.1,19.0289,A
A.1,15.3945,A
A.1,18.3403,A
A.1,16.1005,A
A.1,15.1096,A
A.1,17.8156,A
A.1,12.4374,A
A.1,14.6582,A
A.1,17.0683,A
A.1,15.593,A
A.1,17.3329,A
A.1,15.6917,A
A.1,16.5695,A
A.1,19.895,A
A.1,15.9235,A
A.1,14.4658,A
A.1,17.4597,A
A.1,18.5846,A
A.1,20.6877,A
A.1,15.276,A
A.1,13.476,A
A.1,13.0314,A
A.1,13.7818,A
A.1,22.3829,A
A.1,12.7352,A
A.1,18.8842,A
A.1,15.5856,A
A.1,18.8194,A
A.1,13.2347,A
A.1,18.0349,A
A.1,18.1982,A
A.1,21.7803,A
A.1,16.5808,A
A.1,21.7324,A
A.1,17.7488,A
A.1,19.5596,A
A.1,21.7276,A
A.1,18.1303,A
A.1,17.0076,A
A.1,15.9668,A
A.1,15.4594,A
A.1,14.4995,A
A.1,13.5745,A
A.1,16.8856,A
A.1,15.0548,A
A.1,16.0508,A
A.1,20.2602,A
A.1,20.0589,A
A.1,16.5573,A
A.1,16.1614,A
A.1,19.128,A
A.1,18.8022,A
A.1,15.6885,A
A.1,16.6395,A
A.1,16.5194,A
A.1,20.5606,A
A.1,14.201,A
A.1,19.5859,A
A.1,13.6128,A
A.1,16.1294,A
A.1,17.5428,A
A.1,16.8084,A
A.1,15.9381,A
A.1,18.382,A
A.1,16.5715,A
A.1,14.7146,A
A.1,20.6271,A
A.1,15.9549,A
A.1,17.6632,A
A.1,13.9203,A
A.1,12.5004,A
A.1,16.8754,A
A.1,12.9899,A
A.1,19.136,A
A.1,15.2803,A
A.1,17.7478,A
A.1,14.4543,A
A.1,15.4755,A
A.1,17.3406,A
A.1,15.9765,A
A.1,14.8654,A
A.1,17.4069,A
A.1,12.1897,A
A.1,18.077,A
A.1,15.5637,A
A.1,18.9686,A
A.1,12.9616,A
A.1,15.1492,A
A.1,20.8055,A
A.1,15.181,A
A.1,16.5196,A
A.1,18.9979,A
A.1,20.5067,A
A.1,17.0143,A
A.1,21.7738,A
A.1,15.9323,A
A.1,21.3239,A
A.1,17.2225,A
A.1,16.6073,A
A.1,17.7634,A
A.1,13.6716,A
A.1,17.1376,A
A.1,18.0728,A
A.1,12.5186,A
A.1,15.5977,A
A.1,17.362,A
A.1,17.1481,A
A.1,17.0506,A
A.1,16.8228,A
A.1,19.2009,A
A.1,17.8839,A
A.1,17.1947,A
A.1,17.1012,A
A.1,15.7121,A
A.1,18.4805,A
A.1,20.8029,A
A.1,18.2445,A
A.1,15.3545,A
A.1,15.1331,A
A.1,12.1502,A
A.1,20.0642,A
A.1,14.7278,A
A.1,15.3624,A
A.1,20.1318,A
A.1,14.2065,A
A.1,14.7081,A
A.1,16.1406,A
A.1,17.5321,A
A.1,14.1779,A
A.1,13.9403,A
A.1,19.0803,A
A.1,17.0459,A
A.1,15.7989,A
A.1,17.8138,A
A.1,19.7345,A
A.1,18.3833,A
A.1,18.9719,A
A.1,17.8094,A
A.1,14.91,A
A.1,17.9434,A
A.1,20.2666,A
A.1,14.4883,A
A.1,15.6725,A
A.1,21.5918,A
A.1,17.7678,A
A.1,20.6514,A
A.1,17.0056,A
A.1,12.7315,A
A.1,16.0551,A
A.1,17.0675,A
A.1,17.1308,A
A.1,15.4689,A
A.1,15.1785,A
A.1,17.1612,A
A.1,15.906,A
A.1,18.0916,A
A.1,17.1463,A
A.1,20.92,A
A.1,17.1938,A
A.1,19.6356,A
A.1,12.2574,A
A.1,14.54,A
A.1,17.0956,A
A.1,14.8805,A
A.1,17.7416,A
A.1,18.5551,A
A.1,15.187,A
A.1,14.1527,A
A.1,17.5525,A
A.1,14.8889,A
A.1,13.338,A
A.1,18.6423,A
A.1,16.7273,A
A.1,18.8984,A
A.1,16.3027,A
A.1,21.327,A
A.1,15.0769,A
A.1,20.4425,A
A.1,15.3068,A
A.1,15.4242,A
A.1,12.7313,A
A.1,14.3746,A
A.1,14.5888,A
A.1,16.5984,A
A.1,20.5458,A
A.1,18.3451,A
A.1,15.0684,A
A.1,16.5035,A
A.1,16.7776,A
A.1,16.327,A
A.1,16.9623,A
A.1,22.2039,A
A.1,21.57,A
A.1,16.1551,A
A.1,16.6872,A
A.1,16.1079,A
A.1,15.8372,A
A.1,16.2268,A
A.1,18.0623,A
A.1,17.3386,A
A.1,18.06,A
A.1,17.2935,A
A.1,16.0912,A
A.1,17.3992,A
A.1,15.9292,A
A.1,16.4625,A
A.1,12.4419,A
A.1,16.2422,A
A.1,17.5581,A
A.1,16.5939,A
A.1,16.1251,A
A.1,16.7671,A
A.1,19.0898,A
A.1,19.7131,A
A.1,18.4717,A
A.1,16.4152,A
A.1,15.0354,A
A.1,15.4776,A
A.1,15.7455,A
A.1,14.1423,A
A.1,17.7312,A
A.1,16.9853,A
A.1,13.6499,A
A.1,18.9921,A
A.1,15.3545,A
A.1,17.3857,A
A.1,12.2899,A
A.1,15.619,A
A.1,12.2529,A
A.1,13.156,A
A.1,18.6875,A
A.1,14.0345,A
A.1,18.7185,A
A.1,14.2488,A
A.1,14.1488,A
A.1,20.0575,A
A.1,16.1339,A
A.1,17.143,A
A.1,16.0481,A
A.1,13.7849,A
A.1,14.8279,A
A.1,17.9224,A
A.1,18.2823,A
A.1,17.1156,A
A.1,14.6384,A
A.1,12.7056,A
A.1,19.143,A
A.1,19.2312,A
A.1,18.0173,A
A.1,16.5277,A
A.1,17.1779,A
A.1,16.7751,A
A.1,19.6291,A
A.1,20.1051,A
A.1,19.8364,A
A.1,16.1997,A
A.1,16.9536,A
A.1,15.6389,A
A.1,19.9519,A
A.1,14.3914,A
A.1,16.5424,A
A.1,18.2047,A
A.1,15.3173,A
A.1,16.9927,A
A.1,18.9358,A
A.1,18.2978,A
A.1,18.3414,A
A.1,16.8526,A
A.1,15.7317,A
A.1,16.0589,A
A.1,17.6488,A
A.1,16.9062,A
A.1,18.4007,A
A.1,13.3361,A
A.1,16.6872,A
A.1,17.8729,A
A.1,18.6146,A
A.1,17.933,A
A.1,21.1222,A
A.1,23.5443,A
A.1,17.3299,A
A.1,16.5068,A
A.1,18.3553,A
A.1,18.4837,A
A.1,14.933,A
A.1,17.7207,A
A.1,17.8618,A
A.1,13.9224,A
A.1,17.4866,A
A.1,11.1848,A
A.1,15.7315,A
A.1,16.6378,A
A.1,15.5334,A
A.1,15.2897,A
A.1,18.7727,A
A.1,14.5206,A
A.1,18.9813,A
A.1,19.7839,A
A.1,16.5183,A
A.1,15.326,A
A.1,18.5262,A
A.1,14.5911,A
A.1,16.108,A
A.1,18.9587,A
A.1,19.2023,A
A.1,15.0453,A
A.1,16.8493,A
A.1,18.6519,A
A.1,19.083,A
A.1,18.5957,A
A.1,17.8854,A
A.1,13.0695,A
A.1,13.8049,A
A.1,16.46,A
A.1,15.2864,A
A.1,15.4804,A
A.1,16.0846,A
A.1,18.6818,A
A.1,20.1377,A
A.1,17.9892,A
A.1,18.0066,A
A.1,10.2406,A
A.1,15.4696,A
A.1,16.8465,A
A.1,18.2509,A
A.1,16.657,A
A.1,13.6024,A
A.1,15.9729,A
A.1,16.5156,A
A.1,18.6876,A
A.1,17.4839,A
A.1,17.3663,A
A.1,19.8838,A
A.1,19.844,A
A.1,15.2924,A
A.1,16.5218,A
A.1,17.029,A
A.1,16.2851,A
A.1,15.3993,A
A.1,18.9572,A
A.1,18.9442,A
A.1,17.6923,A
A.1,13.8527,A
A.1,16.0686,A
A.1,14.7798,A
A.1,19.7501,A
A.1,19.9753,A
A.1,18.0425,A
A.1,16.1007,A
A.1,17.6813,A
A.1,12.2953,A
